OID_,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Length,SHAPE_Area
208,208,Madison,Idaho,16,065,16065,41431,87.599999999999994,37536,79.299999999999997,35235,185,99,352,55,2218,1059,551,18186,19350,3594,2475,2340,4836,10162,5337,2410,2460,1830,1143,668,281,22.699999999999999,23.300000000000001,22.199999999999999,10611,3.440000000000000,445,632,3646,3526,121,296,7887,3.420000000000000,11280,669,5119,5492,472.000000000000000,427.000000000000000,167384.000000000000000,277674.000000000000000,473.139999999999986,1.897160266580000,1.897160066423780,0.137013090848000
209,209,Bear Lake,Idaho,16,007,16007,6013,5.700000000000000,5986,5.700000000000000,5767,6,29,22,1,216,97,64,2972,3014,410,461,495,401,246,636,601,820,812,603,359,142,40.500000000000000,40.000000000000000,41.000000000000000,2281,2.610000000000000,268,279,585,860,42,100,1661,3.120000000000000,3914,1633,1855,426,493.000000000000000,523.000000000000000,112489.000000000000000,59850.000000000000000,1049.410000000000082,2.756008226660000,2.756008228497369,0.296659925696000
210,210,Teton,Idaho,16,081,16081,10738,23.800000000000001,10170,22.600000000000001,8709,25,35,48,12,1721,1193,148,5321,4849,983,866,760,598,484,1741,1759,1330,985,392,209,63,33.200000000000003,33.700000000000003,32.700000000000003,3651,2.780000000000000,469,331,1162,989,92,162,2509,3.330000000000000,5478,1827,2589,1062,291.000000000000000,458.000000000000000,87600.000000000000000,123084.000000000000000,450.550000000000011,1.699056159030000,1.699056943017108,0.130417666407000
1939,1939,Payette,Idaho,16,075,16075,23808,58.100000000000001,22623,55.200000000000003,20053,52,255,189,16,3363,1419,639,11191,11432,1738,1799,1772,1779,1142,2546,2721,3062,2602,2016,1049,397,37.000000000000000,36.000000000000000,38.000000000000000,8262,2.730000000000000,803,1026,2117,2623,293,604,6017,3.190000000000000,8945,683,5989,2273,655.000000000000000,240.000000000000000,51649.000000000000000,360677.000000000000000,410.089999999999975,1.853818436060000,1.853818433658938,0.119190669633000
1940,1940,Washington,Idaho,16,087,16087,10141,6.900000000000000,10198,6.900000000000000,8835,18,101,91,3,1716,930,220,5017,5181,575,693,776,728,405,938,1130,1398,1464,1144,657,290,43.700000000000003,42.500000000000000,45.000000000000000,4034,2.500000000000000,492,550,812,1401,128,263,2803,2.990000000000000,4529,495,2949,1085,559.000000000000000,763.000000000000000,79516.000000000000000,134663.000000000000000,1473.490000000000009,3.154871613760000,3.154871602571846,0.431479870375000
1943,1943,Boise,Idaho,16,015,16015,7152,3.800000000000000,7028,3.700000000000000,6703,15,55,29,5,249,58,163,3671,3357,310,410,511,430,199,488,812,1299,1451,805,251,62,48.100000000000001,48.399999999999999,47.899999999999999,2974,2.350000000000000,484,268,525,1246,75,119,2051,2.800000000000000,5292,2318,2468,506,105.000000000000000,0.000000000000000,3017.000000000000000,29136.000000000000000,1906.769999999999982,4.625234209710000,4.625228420768447,0.554042478166000
1944,1944,Gem,Idaho,16,045,16045,17499,30.899999999999999,16719,29.600000000000001,15616,20,94,84,13,1336,519,373,8283,8436,1102,1067,1195,1150,762,1626,1894,2525,2291,1719,959,429,42.899999999999999,41.700000000000003,44.000000000000000,6495,2.550000000000000,694,884,1395,2303,184,375,4611,3.010000000000000,7099,604,4931,1564,830.000000000000000,216.000000000000000,31739.000000000000000,51031.000000000000000,565.710000000000036,2.538585524210000,2.538585515338725,0.164575273914000
1945,1945,Adams,Idaho,16,003,16003,3938,2.900000000000000,3976,2.900000000000000,3821,5,39,16,2,94,26,67,2041,1935,189,192,229,224,135,338,369,695,777,549,209,70,50.000000000000000,50.799999999999997,49.000000000000000,1748,2.260000000000000,283,185,272,753,39,68,1185,2.700000000000000,2636,888,1386,362,234.000000000000000,582.000000000000000,19849.000000000000000,57902.000000000000000,1369.890000000000100,3.358555954820000,3.358555957454060,0.404143826285000
1946,1946,Valley,Idaho,16,085,16085,10014,2.700000000000000,9862,2.600000000000000,9445,11,68,41,1,386,154,142,5107,4755,512,528,574,489,369,1011,1211,1610,1899,1131,417,111,46.600000000000001,46.500000000000000,46.799999999999997,4393,2.230000000000000,710,514,749,1701,108,191,2870,2.710000000000000,11789,7396,3305,1088,117.000000000000000,524.000000000000000,8752.000000000000000,56678.000000000000000,3733.230000000000018,5.832871995650000,5.832872006579016,1.099058021630000
1947,1947,Nez Perce,Idaho,16,069,16069,40738,47.600000000000001,39265,45.899999999999999,35390,117,2206,279,37,1109,261,975,19468,19797,2218,2333,2422,2723,2746,4632,4513,5544,5071,3460,2386,1217,40.899999999999999,39.399999999999999,42.299999999999997,16241,2.360000000000000,2161,2480,2875,5054,477,1129,10331,2.880000000000000,17438,1197,11084,5157,430.000000000000000,749.000000000000000,181393.000000000000000,188776.000000000000000,856.370000000000005,3.051351427990000,3.051351433222151,0.259114067699000
